,WHD,IWH,SBH,SBA,SOA,WHA,B365A,GBA,B365D,B365H,WHH,SOH,SOD,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
22,6.5,1.12,1.1,19.0,,15.0,13.0,13.5,7.0,1.1,1.11,,,13.0,,1.1,6.5,1.25,,3.5,6.5,7.5,,Ajax,Zwolle,Ajax_Zwolle_2003
23,4.0,1.35,1.36,7.5,,7.0,7.0,7.0,4.0,1.364,1.36,,,7.0,,1.37,4.0,1.5,,2.35,4.0,4.15,,Feyenoord,NAC Breda,Feyenoord_NAC Breda_2003
24,3.3,1.8,1.83,3.75,,3.6,3.75,3.7,3.2,1.833,1.8,,,3.6,,1.85,3.25,1.85,,1.85,3.3,3.3,,Groningen,Den Haag,Groningen_Den Haag_2003
25,3.3,1.9,2.0,3.3,,3.4,3.0,3.35,3.2,2.1,1.85,,,3.4,,1.95,3.2,1.75,,1.95,3.2,3.3,,Utrecht,Nijmegen,Utrecht_Nijmegen_2003
26,3.6,1.45,1.44,6.5,,5.8,5.0,5.65,3.75,1.5,1.45,,,5.4,,1.5,3.75,1.71,,2.0,3.8,3.65,,Waalwijk,Volendam,Waalwijk_Volendam_2003
27,3.5,1.7,1.66,4.5,,3.6,3.75,4.5,3.6,1.72,1.75,,,3.8,,1.65,3.4,1.6,,2.15,3.4,3.5,,Den Haag,Volendam,Den Haag_Volendam_2003
28,5.5,1.25,1.28,8.5,,8.0,8.0,9.6,4.5,1.28,1.22,,,9.0,,1.23,4.5,1.45,,2.45,4.5,5.0,,Ajax,Waalwijk,Ajax_Waalwijk_2003
29,3.7,1.4,1.5,5.75,,5.0,6.0,6.0,3.75,1.44,1.5,,,6.0,,1.43,3.6,1.8,,1.9,3.9,4.0,,Heerenveen,Groningen,Heerenveen_Groningen_2003
30,6.5,1.17,1.16,13.0,,9.0,11.0,11.5,5.0,1.2,1.16,,,11.0,,1.17,5.5,1.45,,2.45,5.5,5.75,,PSV Eindhoven,Utrecht,PSV Eindhoven_Utrecht_2003
31,3.25,2.0,1.9,3.4,,3.05,3.25,3.35,3.4,1.9,2.0,,,3.0,,1.95,3.4,1.65,,2.0,3.3,3.3,,Roosendaal,Vitesse,Roosendaal_Vitesse_2003
32,3.3,3.0,3.0,2.1,,2.25,2.0,2.0,3.4,3.0,2.55,,,2.0,,3.25,3.25,1.6,,2.1,3.3,3.25,,Zwolle,Roda JC,Zwolle_Roda JC_2003
33,3.6,3.3,3.25,1.95,,1.72,2.0,2.0,3.4,3.0,3.75,,,1.9,,3.2,3.4,1.55,,2.2,3.3,3.3,,AZ Alkmaar,Feyenoord,AZ Alkmaar_Feyenoord_2003
34,3.3,1.9,1.8,3.75,,3.4,3.6,4.0,3.4,1.8,1.85,,,3.3,,1.75,3.4,1.71,,1.95,3.3,3.4,,NAC Breda,Willem II,NAC Breda_Willem II_2003
35,3.4,1.8,1.75,4.0,,3.7,3.6,3.4,3.4,1.8,1.75,,,3.6,,1.9,3.4,1.71,,1.95,3.3,3.4,,Nijmegen,Twente,Nijmegen_Twente_2003
36,3.3,2.7,2.8,2.2,,2.35,2.25,2.25,3.2,2.75,2.45,,,2.2,,2.7,3.25,1.85,,1.85,3.2,3.3,,Volendam,Nijmegen,Volendam_Nijmegen_2003
37,3.2,2.4,2.2,2.75,,2.7,2.75,2.8,3.4,2.2,2.2,,,2.4,,2.15,3.4,1.65,,2.05,3.2,3.4,,AZ Alkmaar,Heerenveen,AZ Alkmaar_Heerenveen_2003
38,3.4,2.1,2.1,2.87,,2.9,2.8,2.9,3.2,2.2,2.0,,,3.0,,2.11,3.4,1.75,,1.95,3.1,3.35,,Den Haag,Roosendaal,Den Haag_Roosendaal_2003
39,3.3,2.0,2.25,2.75,,2.55,2.62,2.6,3.4,2.25,2.25,,,3.1,,2.35,3.25,1.75,,1.95,3.2,3.3,,Twente,Waalwijk,Twente_Waalwijk_2003
40,3.3,2.4,2.4,2.5,,2.5,2.4,2.5,3.4,2.4,2.3,,,2.4,,2.45,3.3,1.75,,1.95,3.2,3.25,,Vitesse,Roda JC,Vitesse_Roda JC_2003
41,3.6,1.4,1.44,6.5,,5.8,7.0,7.55,3.75,1.4,1.45,,,6.0,,1.33,3.75,1.65,,2.05,3.9,4.3,,Willem II,Zwolle,Willem II_Zwolle_2003
42,3.3,2.4,2.4,2.6,,2.5,2.5,2.5,3.4,2.37,2.37,,,2.4,,2.45,3.2,1.71,,2.0,3.2,3.25,,Feyenoord,PSV Eindhoven,Feyenoord_PSV Eindhoven_2003
43,3.3,2.2,2.1,2.87,,2.8,2.87,3.0,3.4,2.1,2.1,,,2.8,,2.1,3.4,1.85,,1.85,3.1,3.25,,Groningen,Utrecht,Groningen_Utrecht_2003
44,3.8,4.4,4.5,1.66,,1.5,1.61,1.65,3.5,4.5,5.0,,,1.65,,4.6,3.4,1.65,,2.05,3.3,3.4,,NAC Breda,Ajax,NAC Breda_Ajax_2003
45,3.5,1.7,1.66,4.33,,4.8,4.0,4.5,3.5,1.72,1.55,,,4.0,,1.65,3.4,1.65,,2.05,3.3,3.5,,Heerenveen,Twente,Heerenveen_Twente_2003
46,5.0,1.22,1.25,9.5,,9.5,8.0,10.5,5.0,1.25,1.22,,,9.0,,1.22,4.5,1.35,,2.85,4.7,5.0,,PSV Eindhoven,AZ Alkmaar,PSV Eindhoven_AZ Alkmaar_2003
47,3.35,1.7,1.66,4.6,,4.25,4.33,4.85,3.4,1.66,1.65,,,4.0,,1.63,3.25,1.65,,2.05,3.3,3.4,,Roosendaal,Volendam,Roosendaal_Volendam_2003
48,5.0,1.25,1.25,9.5,,9.5,8.0,10.5,5.0,1.25,1.22,,,9.0,,1.22,4.5,1.3,,2.9,4.5,5.0,,Ajax,Willem II,Ajax_Willem II_2003
49,3.6,1.55,1.53,5.0,,5.2,4.5,4.75,3.5,1.61,1.5,,,4.8,,1.6,3.6,1.65,,2.05,3.5,3.55,,Nijmegen,Den Haag,Nijmegen_Den Haag_2003
50,3.3,1.6,1.57,5.0,,4.4,4.5,4.75,3.5,1.61,1.65,,,4.6,,1.6,3.5,1.71,,2.0,3.4,3.55,,Roda JC,Groningen,Roda JC_Groningen_2003
51,3.3,1.7,1.8,3.6,,4.1,4.0,4.0,3.5,1.72,1.7,,,4.0,,1.77,3.4,1.71,,2.0,3.3,3.35,,Utrecht,Vitesse,Utrecht_Vitesse_2003
52,3.3,2.0,1.9,3.5,,3.6,3.6,3.6,3.4,1.8,1.8,,,3.1,,1.85,3.2,1.65,,2.05,3.2,3.35,,Waalwijk,NAC Breda,Waalwijk_NAC Breda_2003
53,3.5,4.6,5.5,1.53,,1.61,1.5,1.45,4.0,5.0,4.5,,,1.6,,6.0,3.5,1.65,,2.05,3.4,3.85,,Zwolle,Feyenoord,Zwolle_Feyenoord_2003
54,3.35,2.0,2.0,3.25,,3.35,3.0,3.1,3.4,2.0,1.85,,,3.1,,2.05,3.25,1.65,,2.05,3.2,3.25,,Vitesse,Twente,Vitesse_Twente_2003
55,3.35,1.7,1.75,4.0,,3.75,3.75,3.75,3.25,1.83,1.75,,,4.0,,1.8,3.4,1.6,,2.15,3.3,3.4,,AZ Alkmaar,Nijmegen,AZ Alkmaar_Nijmegen_2003
56,4.33,7.0,6.5,1.4,,1.4,1.33,1.3,4.33,7.5,5.5,,,1.35,,7.5,4.0,1.5,,2.35,4.0,4.3,,Den Haag,PSV Eindhoven,Den Haag_PSV Eindhoven_2003
57,3.4,1.7,1.72,4.2,,3.9,4.5,4.6,3.5,1.61,1.7,,,4.0,,1.65,3.4,1.6,,2.15,3.3,3.4,,Heerenveen,Waalwijk,Heerenveen_Waalwijk_2003
58,3.35,1.7,1.66,4.5,,3.75,4.33,4.25,3.4,1.66,1.75,,,4.0,,1.7,3.4,1.71,,2.0,3.3,3.4,,NAC Breda,Utrecht,NAC Breda_Utrecht_2003
59,3.3,2.0,1.9,3.4,,3.25,3.0,3.25,3.4,2.0,1.9,,,3.1,,2.0,3.4,1.71,,2.0,3.2,3.25,,Willem II,Roda JC,Willem II_Roda JC_2003
60,5.0,1.25,1.22,10.0,,9.5,10.0,10.0,4.5,1.25,1.22,,,9.0,,1.25,5.0,1.3,,2.9,4.5,4.5,,Feyenoord,Roosendaal,Feyenoord_Roosendaal_2003
61,3.8,5.4,5.5,1.5,,1.5,1.57,1.5,3.5,5.0,5.0,,,1.45,,5.5,3.75,1.6,,2.15,3.8,3.7,,Groningen,Ajax,Groningen_Ajax_2003
62,3.35,1.85,1.8,3.75,,3.75,3.25,3.55,3.4,1.9,1.75,,,3.5,,1.85,3.4,1.71,,2.0,3.2,3.4,,Volendam,Zwolle,Volendam_Zwolle_2003
63,6.5,1.07,1.1,15.0,,17.0,13.0,15.5,7.0,1.1,1.1,,,18.0,,1.1,7.0,,,,7.0,7.0,,Ajax,Volendam,Ajax_Volendam_2003
64,3.75,1.3,1.33,7.5,,8.0,8.0,8.3,4.33,1.3,1.36,,,8.0,,1.3,4.2,1.35,,2.85,4.2,4.4,,PSV Eindhoven,Heerenveen,PSV Eindhoven_Heerenveen_2003
65,3.3,2.2,2.2,2.75,,2.8,2.87,2.8,3.3,2.1,2.1,,,2.8,,2.2,3.25,1.65,,2.05,3.1,3.3,,Roosendaal,Willem II,Roosendaal_Willem II_2003
66,3.5,1.65,1.61,4.75,,4.4,4.33,4.45,3.4,1.66,1.6,,,4.2,,1.63,3.4,1.6,,2.15,3.4,3.6,,Waalwijk,Vitesse,Waalwijk_Vitesse_2003
67,3.3,1.9,1.9,3.3,,3.6,3.0,3.4,3.4,2.0,1.8,,,3.4,,1.9,3.3,1.6,,2.15,3.2,3.4,,Nijmegen,NAC Breda,Nijmegen_NAC Breda_2003
68,3.4,2.6,2.75,2.2,,2.0,2.1,2.15,3.4,2.8,3.0,,,2.3,,2.85,3.25,1.65,,2.05,3.1,3.35,,Roda JC,Feyenoord,Roda JC_Feyenoord_2003
69,3.3,1.75,1.72,4.2,,3.6,4.33,4.1,3.4,1.66,1.8,,,3.8,,1.72,3.25,1.71,,2.0,3.3,3.45,,Twente,Groningen,Twente_Groningen_2003
70,3.3,2.3,2.3,2.6,,2.45,2.5,2.55,3.25,2.37,2.35,,,2.6,,2.4,3.25,1.6,,2.15,3.1,3.25,,Utrecht,AZ Alkmaar,Utrecht_AZ Alkmaar_2003
71,3.3,2.1,2.1,3.0,,2.9,3.2,3.0,3.2,2.0,2.05,,,2.9,,2.1,3.2,1.65,,2.05,3.2,3.3,,Zwolle,Den Haag,Zwolle_Den Haag_2003
72,3.3,3.6,3.5,1.9,,2.15,1.9,1.9,3.4,3.25,2.7,,,1.8,,3.55,3.2,1.71,,2.0,3.2,3.25,,Volendam,Roda JC,Volendam_Roda JC_2003
73,4.4,1.25,1.28,8.0,,7.0,8.0,9.0,5.0,1.25,1.3,,,9.0,,1.25,4.5,1.55,,2.25,4.5,4.85,,AZ Alkmaar,Zwolle,AZ Alkmaar_Zwolle_2003
74,3.3,2.7,2.4,2.5,,2.55,2.5,2.55,3.25,2.4,2.25,,,2.2,,2.4,3.2,1.71,,2.0,3.2,3.25,,Den Haag,NAC Breda,Den Haag_NAC Breda_2003
75,3.25,1.9,2.0,3.0,,3.15,3.5,3.55,3.4,1.83,1.95,,,3.4,,1.9,3.4,1.71,,2.0,3.2,3.25,,Groningen,Vitesse,Groningen_Vitesse_2003
76,3.5,1.5,1.57,5.0,,4.8,5.5,6.0,3.6,1.5,1.55,,,5.0,,1.52,3.5,1.71,,2.0,3.7,3.45,,Heerenveen,Nijmegen,Heerenveen_Nijmegen_2003
77,3.35,1.7,1.66,4.33,,3.95,3.75,4.0,3.4,1.8,1.7,,,4.0,,1.72,3.4,1.71,,2.0,3.3,3.45,,Waalwijk,Roosendaal,Waalwijk_Roosendaal_2003
78,4.0,1.3,1.3,8.0,,7.0,8.0,9.0,4.5,1.28,1.36,,,8.0,,1.28,4.33,1.6,,2.15,4.2,4.5,,Feyenoord,Willem II,Feyenoord_Willem II_2003
79,3.2,1.9,2.2,2.87,,3.0,2.8,2.8,3.2,2.2,2.1,,,3.3,,2.25,3.1,1.75,,1.95,3.3,3.2,,PSV Eindhoven,Ajax,PSV Eindhoven_Ajax_2003
80,3.3,1.75,1.8,3.6,,3.4,3.75,3.75,3.25,1.83,1.85,,,3.8,,1.85,3.4,1.6,,2.15,3.3,3.25,,Twente,Utrecht,Twente_Utrecht_2003
81,3.4,1.6,1.57,5.0,,4.2,5.0,6.35,3.6,1.53,1.65,,,4.6,,1.45,3.5,1.6,,2.1,3.4,3.75,,Roda JC,Den Haag,Roda JC_Den Haag_2003
82,3.75,1.4,1.36,7.0,,7.0,8.0,8.0,4.33,1.3,1.4,,,6.0,,1.3,4.0,1.4,,2.6,3.9,4.5,,Ajax,AZ Alkmaar,Ajax_AZ Alkmaar_2003
83,3.5,3.8,4.33,1.67,,1.66,1.66,1.6,3.4,4.33,4.2,,,1.8,,5.0,3.4,1.55,,2.2,3.1,3.45,,NAC Breda,PSV Eindhoven,NAC Breda_PSV Eindhoven_2003
84,3.3,2.2,2.1,2.88,,2.8,2.8,3.15,3.4,2.1,2.1,,,2.8,,2.1,3.3,1.71,,1.95,3.1,3.1,,Roosendaal,Nijmegen,Roosendaal_Nijmegen_2003
85,3.3,1.6,1.7,4.2,,3.4,4.0,4.5,3.4,1.72,1.85,,,4.6,,1.65,3.4,1.55,,2.2,3.4,3.5,,Vitesse,Volendam,Vitesse_Volendam_2003
86,3.4,4.0,4.0,1.73,,1.72,1.72,1.75,3.4,4.0,4.0,,,1.7,,4.0,3.4,1.6,,2.1,3.3,3.4,,Groningen,Feyenoord,Groningen_Feyenoord_2003
87,3.3,2.4,2.4,2.5,,2.45,2.5,2.65,3.25,2.37,2.35,,,2.6,,2.4,3.25,1.65,,2.0,3.0,3.1,,Utrecht,Heerenveen,Utrecht_Heerenveen_2003
88,3.25,1.9,2.0,3.0,,2.9,3.0,3.25,3.4,2.0,2.05,,,3.3,,2.05,3.4,1.65,,2.0,3.3,3.15,,Willem II,Waalwijk,Willem II_Waalwijk_2003
89,3.25,3.4,3.1,2.0,,2.25,2.0,2.1,3.4,3.0,2.6,,,1.85,,3.1,3.3,1.55,,2.2,3.3,3.15,,Zwolle,Twente,Zwolle_Twente_2003
90,3.2,2.2,2.25,2.7,,2.5,2.5,2.8,3.4,2.3,2.35,,,2.7,,2.25,3.25,1.6,,2.1,3.2,3.2,,Vitesse,Willem II,Vitesse_Willem II_2003
91,4.0,1.33,1.25,8.5,,6.9,8.0,10.0,5.0,1.25,1.35,,,7.5,,1.25,4.75,1.6,,2.1,4.0,4.7,,Heerenveen,Zwolle,Heerenveen_Zwolle_2003
92,3.3,2.4,2.5,2.37,,2.4,2.37,2.55,3.25,2.5,2.4,,,2.4,,2.45,3.25,1.6,,2.1,3.2,3.2,,NAC Breda,AZ Alkmaar,NAC Breda_AZ Alkmaar_2003
93,5.0,1.15,1.2,11.0,,11.0,11.0,11.5,5.0,1.2,1.2,,,12.0,,1.18,5.0,1.45,,2.45,6.0,5.5,,PSV Eindhoven,Roosendaal,PSV Eindhoven_Roosendaal_2003
94,3.25,1.8,1.8,3.6,,3.45,3.6,3.65,3.25,1.83,1.85,,,3.6,,1.85,3.4,1.6,,2.1,3.3,3.3,,Roda JC,Twente,Roda JC_Twente_2003
95,3.75,8.0,6.5,1.4,,1.44,1.4,1.4,3.75,7.0,6.0,,,1.3,,6.75,4.0,1.45,,2.45,4.2,3.95,,Den Haag,Ajax,Den Haag_Ajax_2003
96,3.3,1.8,1.75,3.8,,3.25,4.0,4.15,3.4,1.72,1.9,,,3.6,,1.72,3.4,1.65,,2.0,3.3,3.4,,Nijmegen,Groningen,Nijmegen_Groningen_2003
97,3.3,1.9,1.9,3.25,,3.1,3.0,3.15,3.4,2.0,1.95,,,3.3,,2.02,3.4,1.6,,2.1,3.3,3.3,,Utrecht,Waalwijk,Utrecht_Waalwijk_2003
98,3.5,5.0,5.0,1.57,,1.61,1.5,1.5,3.6,5.5,4.5,,,1.5,,5.85,3.5,1.55,,2.2,3.7,3.6,,Volendam,Feyenoord,Volendam_Feyenoord_2003
99,3.35,1.8,1.83,3.75,,4.0,3.5,4.0,3.4,1.83,1.7,,,3.6,,1.75,3.25,1.6,,2.15,3.3,3.4,,Waalwijk,Groningen,Waalwijk_Groningen_2003
100,,1.75,1.8,3.8,,,3.25,3.7,3.4,1.9,,,,3.8,,1.85,3.25,1.5,,2.35,3.3,3.3,,AZ Alkmaar,Roda JC,AZ Alkmaar_Roda JC_2003
101,5.0,1.25,1.25,10.0,,9.5,8.0,9.0,4.5,1.28,1.22,,,9.0,,1.25,4.5,1.4,,2.65,4.5,4.85,,Feyenoord,Vitesse,Feyenoord_Vitesse_2003
102,3.6,5.4,5.5,1.53,,1.53,1.53,1.5,3.75,5.0,5.0,,,1.45,,5.5,3.5,1.4,,2.65,3.8,3.75,,Nijmegen,PSV Eindhoven,Nijmegen_PSV Eindhoven_2003
103,,1.5,1.53,5.5,,,5.0,5.0,3.75,1.53,,,,5.0,,1.55,3.5,1.55,,2.25,3.7,3.7,,Willem II,Volendam,Willem II_Volendam_2003
104,,2.8,2.5,2.4,,,2.3,2.35,3.25,2.62,,,,2.2,,2.6,3.2,1.71,,2.0,3.1,3.25,,Zwolle,NAC Breda,Zwolle_NAC Breda_2003
105,5.5,1.25,1.29,8.0,,9.0,8.0,9.0,4.5,1.28,1.2,,,9.0,,1.25,4.5,1.35,,2.85,4.5,4.85,,Ajax,Heerenveen,Ajax_Heerenveen_2003
106,3.2,2.3,2.1,3.0,,3.2,3.0,3.1,3.25,2.1,1.95,,,2.8,,2.05,3.2,1.75,,1.95,2.9,3.25,,Roosendaal,Utrecht,Roosendaal_Utrecht_2003
107,,1.55,1.62,4.75,,,4.33,5.0,3.4,1.66,,,,4.8,,1.58,3.4,1.5,,2.35,3.5,3.5,,Twente,Den Haag,Twente_Den Haag_2003
108,3.2,2.0,2.0,3.2,,3.1,3.0,3.3,3.4,2.0,2.0,,,3.1,,2.0,3.2,1.55,,2.2,3.2,3.2,,Groningen,Roosendaal,Groningen_Roosendaal_2003
109,3.2,2.3,2.2,2.8,,2.85,2.75,2.7,3.25,2.2,2.1,,,2.6,,2.3,3.2,1.6,,2.1,3.1,3.2,,Den Haag,Vitesse,Den Haag_Vitesse_2003
110,3.3,1.9,1.85,3.5,,3.4,3.5,3.55,3.4,1.83,1.85,,,3.4,,1.9,3.4,1.55,,2.2,3.2,3.25,,Twente,NAC Breda,Twente_NAC Breda_2003
111,3.5,1.7,1.7,4.33,,4.1,4.33,4.0,3.4,1.66,1.65,,,4.0,,1.75,3.25,1.55,,2.2,3.3,3.4,,Willem II,Nijmegen,Willem II_Nijmegen_2003
112,3.75,9.0,8.0,1.25,,1.36,1.28,1.28,4.5,8.0,8.0,,,1.25,,9.0,5.0,1.45,,2.45,4.5,4.5,,Zwolle,PSV Eindhoven,Zwolle_PSV Eindhoven_2003
113,3.3,1.75,1.62,5.0,,4.5,5.0,4.8,3.5,1.57,1.66,,,3.8,,1.61,3.4,1.55,,2.2,3.3,3.5,,Ajax,Feyenoord,Ajax_Feyenoord_2003
114,3.25,2.4,2.3,2.62,,2.6,2.5,2.6,3.3,2.37,2.25,,,2.4,,2.35,3.25,1.6,,2.1,3.2,3.25,,Utrecht,Roda JC,Utrecht_Roda JC_2003
115,3.2,2.6,2.5,2.4,,2.4,2.37,2.45,3.3,2.5,2.45,,,2.2,,2.5,3.25,1.6,,2.1,3.3,3.25,,Waalwijk,AZ Alkmaar,Waalwijk_AZ Alkmaar_2003
116,3.6,1.6,1.53,5.25,,5.0,5.0,5.1,3.5,1.57,1.53,,,4.6,,1.55,3.6,1.65,,2.05,3.4,3.65,,AZ Alkmaar,Groningen,AZ Alkmaar_Groningen_2003
117,3.75,1.45,1.44,6.0,,6.0,6.0,6.25,3.75,1.44,1.44,,,5.4,,1.45,3.75,1.65,,2.05,3.8,3.75,,Heerenveen,Den Haag,Heerenveen_Den Haag_2003
118,3.4,2.7,2.5,2.4,,2.4,2.37,2.2,3.25,2.5,2.4,,,2.2,,2.85,3.25,1.65,,2.05,3.2,3.25,,Volendam,Twente,Volendam_Twente_2003
119,3.3,1.9,2.0,3.2,,3.0,3.0,3.4,3.4,2.0,2.0,,,3.3,,1.95,3.2,1.52,,2.3,3.3,3.25,,Nijmegen,Waalwijk,Nijmegen_Waalwijk_2003
120,5.5,1.12,1.14,12.0,,12.0,12.0,12.5,6.0,1.14,1.16,,,13.0,,1.15,6.0,1.35,,2.85,6.5,6.0,,PSV Eindhoven,Volendam,PSV Eindhoven_Volendam_2003
121,3.35,1.75,1.8,3.75,,4.0,3.5,3.9,3.4,1.83,1.7,,,3.8,,1.8,3.3,1.71,,2.0,3.3,3.3,,Willem II,Utrecht,Willem II_Utrecht_2003
122,5.0,1.17,1.16,11.0,,11.0,11.0,11.0,5.0,1.2,1.2,,,11.0,,1.2,5.5,1.47,,2.4,5.5,5.2,,Feyenoord,Den Haag,Feyenoord_Den Haag_2003
123,3.3,2.1,2.1,2.87,,3.0,2.87,3.0,3.4,2.1,2.0,,,2.9,,2.1,3.3,1.75,,1.95,3.2,3.3,,NAC Breda,Heerenveen,NAC Breda_Heerenveen_2003
124,3.2,2.7,2.5,2.4,,2.4,2.5,2.4,3.4,2.3,2.45,,,2.2,,2.55,3.2,,,,3.2,3.25,,Roosendaal,AZ Alkmaar,Roosendaal_AZ Alkmaar_2003
125,3.35,1.7,1.61,4.5,,4.0,4.5,4.2,3.5,1.61,1.7,,,4.0,,1.72,3.5,1.5,,2.35,3.3,3.35,,Vitesse,Zwolle,Vitesse_Zwolle_2003
126,3.25,1.7,1.7,4.33,,3.9,4.0,4.1,3.5,1.727,1.75,,,4.2,,1.73,3.3,1.79,,1.9,3.2,3.4,,Roda JC,NAC Breda,Roda JC_NAC Breda_2003
127,3.3,3.0,2.75,2.2,,2.3,2.3,2.2,3.4,2.5,2.5,,,2.1,,2.8,3.25,1.71,,2.0,3.1,3.3,,Den Haag,Willem II,Den Haag_Willem II_2003
128,5.0,1.15,1.16,12.0,,11.0,11.0,13.0,5.0,1.2,1.2,,,12.0,,1.16,5.5,1.65,,2.05,6.0,5.6,,PSV Eindhoven,Waalwijk,PSV Eindhoven_Waalwijk_2003
129,3.15,2.3,2.25,2.62,,2.75,2.5,2.6,3.4,2.3,2.2,,,2.6,,2.35,3.3,1.95,,1.75,3.1,3.3,,Roosendaal,Heerenveen,Roosendaal_Heerenveen_2003
130,3.4,3.1,3.0,2.1,,1.9,2.0,2.05,3.4,3.0,3.25,,,2.0,,3.1,3.2,1.45,,2.5,3.2,3.25,,Twente,Feyenoord,Twente_Feyenoord_2003
