,WHD,IWH,SBH,SBA,WHA,B365A,GBA,B365D,B365H,WHH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
16,3.3,2.9,2.6,2.4,2.4,2.4,2.25,3.25,2.5,2.4,2.2,,2.75,3.1,2.0,,1.65,3.0,3.1,,Beira Mar,Boavista,Beira Mar_Boavista_2003
17,3.4,1.6,1.66,4.5,4.6,4.333,4.75,3.4,1.667,1.6,4.6,2.0,1.6,3.4,1.95,-0.75,1.71,3.4,3.4,1.8,Boavista,Guimaraes,Boavista_Guimaraes_2003
18,3.3,1.9,2.0,3.3,3.25,3.5,3.5,3.4,1.833,1.9,3.5,1.88,1.92,3.2,1.85,-0.5,1.79,3.1,3.35,1.92,Moreirense,Sp Braga,Moreirense_Sp Braga_2003
19,3.3,1.9,1.9,3.6,3.25,3.4,3.5,3.25,1.909,1.9,3.5,1.88,1.92,3.2,1.95,-0.5,1.71,3.1,3.35,1.92,Beira Mar,Alverca,Beira Mar_Alverca_2003
20,3.7,1.5,1.44,6.5,5.7,6.0,7.0,3.75,1.444,1.45,5.4,2.0,1.45,3.75,1.9,-1.0,1.75,3.5,3.7,1.75,Maritimo,Rio Ave,Maritimo_Rio Ave_2003
21,3.3,,1.8,4.0,3.8,4.0,4.0,3.4,1.727,1.75,,,1.8,3.25,,,,,3.35,,Nacional,Est Amadora,Nacional_Est Amadora_2003
22,3.4,1.65,1.66,4.5,4.6,4.0,4.75,3.4,1.727,1.6,4.4,,1.67,3.4,,,,3.3,3.4,,Belenenses,Leiria,Belenenses_Leiria_2003
23,3.3,1.7,1.66,4.75,4.5,4.5,4.7,3.3,1.66,1.66,4.2,1.9,1.7,3.25,1.83,-0.75,1.83,3.2,3.3,1.91,Porto,Sp Lisbon,Porto_Sp Lisbon_2003
24,3.25,2.0,,,3.5,3.2,3.4,3.2,2.0,1.9,3.4,1.85,2.0,,2.0,-0.5,1.65,2.9,3.25,1.95,Gil Vicente,Pacos Ferreira,Gil Vicente_Pacos Ferreira_2003
25,3.6,1.7,1.61,5.0,4.7,,4.5,,,1.55,4.2,1.8,1.7,3.4,1.75,-0.75,1.9,3.2,3.4,2.0,Belenenses,Est Amadora,Belenenses_Est Amadora_2003
26,3.4,1.85,1.75,4.0,3.9,3.5,4.0,3.4,1.83,1.7,3.8,2.04,1.77,3.4,2.0,-0.5,1.65,3.0,3.45,1.77,Sp Braga,Gil Vicente,Sp Braga_Gil Vicente_2003
27,3.3,2.0,2.0,3.25,3.0,3.0,3.45,3.2,2.1,2.0,3.3,1.82,1.95,3.25,2.0,-0.5,1.65,3.0,3.3,1.98,Est Amadora,Moreirense,Est Amadora_Moreirense_2003
28,3.4,1.6,1.61,5.0,4.2,4.5,4.8,3.5,1.61,1.65,4.8,1.95,1.64,3.4,2.0,-0.75,1.65,3.3,3.5,1.85,Guimaraes,Academica,Guimaraes_Academica_2003
29,3.5,4.2,5.0,1.57,1.57,1.61,1.65,3.5,4.5,5.0,1.7,1.85,4.7,3.6,1.85,0.75,1.79,3.2,3.5,1.95,Leiria,Porto,Leiria_Porto_2003
30,3.3,2.0,2.2,2.87,3.0,2.8,2.8,3.2,2.2,2.0,3.3,1.85,2.25,3.2,2.0,-0.25,1.65,3.0,3.3,1.95,Pacos Ferreira,Maritimo,Pacos Ferreira_Maritimo_2003
31,4.15,1.35,1.3,8.0,8.0,8.0,8.5,4.5,1.28,1.3,7.0,1.8,1.3,4.5,1.67,-1.5,2.0,4.0,4.6,2.0,Benfica,Belenenses,Benfica_Belenenses_2003
32,3.4,1.9,2.0,3.25,2.9,3.2,3.3,3.2,2.0,2.0,3.5,1.8,2.0,3.25,2.0,-0.5,1.65,3.1,3.3,2.0,Rio Ave,Beira Mar,Rio Ave_Beira Mar_2003
33,4.15,1.35,1.3,8.0,8.0,8.0,8.0,4.0,1.33,1.3,7.0,1.8,1.35,4.5,1.65,-1.5,2.0,4.0,4.2,2.0,Sp Lisbon,Nacional,Sp Lisbon_Nacional_2003
34,3.2,3.2,3.0,2.1,2.1,2.25,2.25,3.25,2.7,2.85,2.1,1.9,2.85,3.25,2.1,0.25,1.6,2.9,3.25,1.9,Alverca,Boavista,Alverca_Boavista_2003
35,3.5,1.7,1.66,4.5,4.4,4.5,4.5,3.25,1.66,1.6,4.2,1.9,1.7,3.4,2.0,-0.75,1.65,3.2,3.4,1.9,Maritimo,Sp Braga,Maritimo_Sp Braga_2003
36,3.5,1.45,1.53,5.5,5.4,6.0,5.65,3.4,1.5,1.5,5.8,1.85,1.55,3.5,1.95,-1.0,1.71,3.6,3.55,1.95,Boavista,Academica,Boavista_Academica_2003
37,3.3,3.8,4.0,1.75,1.8,1.72,1.77,3.4,4.0,3.75,1.8,1.95,4.15,3.4,1.75,0.75,1.9,3.1,3.35,1.85,Moreirense,Sp Lisbon,Moreirense_Sp Lisbon_2003
38,3.4,1.8,1.75,4.0,4.2,3.75,4.25,3.2,1.83,1.65,3.8,1.85,1.77,3.4,2.1,-0.75,1.6,3.1,3.3,1.95,Alverca,Rio Ave,Alverca_Rio Ave_2003
39,3.3,2.0,1.9,3.6,3.25,3.2,3.8,3.2,2.0,1.9,3.2,1.9,1.9,3.2,2.0,-0.5,1.65,3.1,3.2,1.9,Beira Mar,Pacos Ferreira,Beira Mar_Pacos Ferreira_2003
40,3.5,1.7,1.66,4.5,4.8,4.5,4.5,3.25,1.66,1.55,4.2,1.9,1.68,3.4,1.75,-0.75,1.95,3.2,3.5,1.9,Gil Vicente,Est Amadora,Gil Vicente_Est Amadora_2003
41,3.3,,1.75,4.0,4.1,3.75,4.25,3.25,1.8,1.7,,2.0,1.77,3.4,1.9,-0.5,1.75,,3.3,1.8,Nacional,Leiria,Nacional_Leiria_2003
42,3.25,1.7,1.72,4.33,4.2,4.33,4.25,3.2,1.72,1.72,4.2,1.85,1.77,3.25,1.65,-0.75,2.0,3.2,3.3,1.95,Porto,Benfica,Porto_Benfica_2003
43,3.25,1.8,1.9,3.5,3.3,3.5,4.0,3.2,1.9,1.9,3.8,1.95,1.83,3.25,1.65,-0.5,2.0,3.1,3.25,1.85,Belenenses,Guimaraes,Belenenses_Guimaraes_2003
44,3.2,3.2,3.2,2.0,2.0,2.1,2.1,3.2,3.0,3.2,2.0,1.9,3.15,3.2,2.1,0.5,1.6,3.1,3.15,1.9,Rio Ave,Boavista,Rio Ave_Boavista_2003
45,3.4,4.0,4.2,1.7,1.66,1.66,1.7,3.4,4.33,4.33,1.7,1.8,4.4,3.4,1.71,0.75,1.95,3.3,3.4,2.0,Guimaraes,Porto,Guimaraes_Porto_2003
46,3.3,2.2,2.2,2.8,3.0,3.0,3.0,3.2,2.1,2.0,2.9,1.85,2.15,3.2,1.71,-0.25,1.95,3.0,3.2,1.95,Academica,Belenenses,Academica_Belenenses_2003
47,4.5,1.3,1.28,8.5,8.0,8.5,8.5,5.0,1.25,1.28,8.0,1.85,1.28,4.33,1.65,-1.5,2.0,4.2,4.75,1.95,Benfica,Nacional,Benfica_Nacional_2003
48,3.3,2.9,3.0,2.1,2.1,2.1,2.15,3.2,3.0,2.8,2.2,1.9,3.0,3.2,1.75,0.25,1.9,3.0,3.2,1.9,Est Amadora,Maritimo,Est Amadora_Maritimo_2003
49,3.3,1.85,2.0,3.2,3.0,3.2,3.3,3.2,2.0,2.0,3.5,1.75,2.02,3.2,1.9,-0.5,1.75,3.2,3.2,2.02,Leiria,Moreirense,Leiria_Moreirense_2003
50,3.3,1.85,1.9,3.4,3.1,3.75,3.65,3.25,1.83,1.95,3.5,1.9,1.9,3.25,2.1,-0.5,1.6,3.2,3.25,1.9,Pacos Ferreira,Alverca,Pacos Ferreira_Alverca_2003
51,3.4,1.7,1.66,4.33,4.6,4.33,4.65,3.4,1.66,1.6,4.2,1.9,1.67,3.4,1.95,-0.75,1.71,3.2,3.4,1.9,Sp Braga,Beira Mar,Sp Braga_Beira Mar_2003
52,3.7,1.35,1.33,7.5,6.5,7.0,8.0,4.33,1.33,1.4,7.0,1.8,1.33,4.2,1.6,-1.5,2.1,4.0,4.3,2.0,Sp Lisbon,Gil Vicente,Sp Lisbon_Gil Vicente_2003
53,3.2,1.7,1.73,4.33,4.33,4.33,4.5,3.25,1.72,1.72,4.4,1.9,1.7,3.5,1.95,-0.75,1.71,3.1,3.3,1.9,Boavista,Belenenses,Boavista_Belenenses_2003
54,3.3,3.1,2.8,2.2,2.3,2.2,2.1,3.25,2.75,2.6,2.1,1.9,3.0,3.25,1.9,0.25,1.75,3.0,3.25,1.9,Maritimo,Sp Lisbon,Maritimo_Sp Lisbon_2003
55,3.4,3.8,4.0,1.8,1.66,1.83,1.8,3.25,3.75,4.33,1.8,1.8,3.95,3.25,1.79,0.5,1.83,3.1,3.3,2.0,Moreirense,Benfica,Moreirense_Benfica_2003
56,3.5,1.6,1.61,4.5,4.8,4.5,4.55,3.4,1.66,1.55,4.6,1.95,1.65,3.5,1.75,-0.75,1.9,3.4,3.5,1.85,Beira Mar,Est Amadora,Beira Mar_Est Amadora_2003
57,3.3,1.85,1.9,3.5,3.6,3.2,3.6,3.2,2.0,1.8,3.6,1.9,1.9,3.25,1.79,-0.5,1.85,3.1,3.25,1.9,Gil Vicente,Leiria,Gil Vicente_Leiria_2003
58,3.3,2.1,2.1,3.0,2.8,3.0,3.0,3.2,2.1,2.1,3.1,1.85,2.15,3.25,1.9,-0.25,1.75,3.0,3.2,1.95,Nacional,Guimaraes,Nacional_Guimaraes_2003
59,6.0,1.15,1.16,12.0,12.0,13.0,11.0,5.5,1.16,1.14,12.0,1.9,1.2,6.0,1.6,-1.75,2.1,6.0,5.3,1.9,Porto,Academica,Porto_Academica_2003
60,3.3,1.9,1.9,3.6,3.1,3.0,3.3,3.2,2.1,1.95,3.5,1.8,2.0,3.2,1.95,-0.5,1.71,3.1,3.25,2.0,Rio Ave,Pacos Ferreira,Rio Ave_Pacos Ferreira_2003
61,3.3,2.2,2.1,3.1,2.9,2.75,2.85,3.25,2.2,2.05,2.9,1.8,2.25,3.2,1.95,-0.25,1.71,3.0,3.15,2.0,Alverca,Sp Braga,Alverca_Sp Braga_2003
62,3.3,1.8,1.85,3.5,3.8,3.4,3.8,3.25,1.9,1.75,3.8,1.95,1.85,3.3,1.83,-0.5,1.83,3.1,3.25,1.85,Guimaraes,Moreirense,Guimaraes_Moreirense_2003
63,3.3,2.0,1.85,3.5,3.8,3.2,3.8,3.2,2.0,1.75,3.2,1.95,1.85,3.3,1.83,-0.5,1.83,3.1,3.25,1.85,Academica,Nacional,Academica_Nacional_2003
64,3.3,3.8,4.33,1.66,1.75,1.66,1.73,3.5,4.2,3.8,1.8,1.73,4.2,3.4,1.65,0.5,2.0,3.1,3.4,2.07,Belenenses,Porto,Belenenses_Porto_2003
65,3.3,3.2,3.4,1.9,1.85,1.9,1.93,3.25,3.4,3.4,2.0,1.93,3.5,3.25,2.0,0.5,1.65,3.1,3.25,1.87,Pacos Ferreira,Boavista,Pacos Ferreira_Boavista_2003
66,4.5,1.25,1.3,8.0,7.25,7.0,8.2,4.33,1.33,1.28,9.0,1.9,1.3,4.33,1.71,-1.5,1.95,4.5,4.5,1.9,Benfica,Gil Vicente,Benfica_Gil Vicente_2003
67,3.35,2.1,2.2,2.75,2.85,3.0,2.9,3.25,2.1,2.05,3.1,1.9,2.15,3.25,1.95,-0.25,1.71,3.0,3.3,1.9,Est Amadora,Alverca,Est Amadora_Alverca_2003
68,3.1,2.2,2.37,2.6,2.5,2.5,2.65,3.25,2.37,2.4,2.8,2.0,2.35,3.1,2.0,0.0,1.65,3.1,3.25,1.8,Leiria,Maritimo,Leiria_Maritimo_2003
69,3.5,1.55,1.53,5.5,5.4,6.0,5.3,3.5,1.5,1.5,5.0,1.8,1.55,3.4,1.95,-1.0,1.71,3.4,3.6,2.0,Sp Braga,Rio Ave,Sp Braga_Rio Ave_2003
70,3.9,1.35,1.4,7.0,6.0,7.0,6.8,3.75,1.4,1.4,7.0,1.9,1.4,3.75,1.71,-1.25,1.95,4.0,4.0,1.9,Sp Lisbon,Beira Mar,Sp Lisbon_Beira Mar_2003
71,3.2,2.7,2.7,2.25,2.3,2.37,2.3,3.25,2.5,2.55,2.3,1.95,2.7,3.25,1.83,0.25,1.83,3.0,3.25,1.82,Pacos Ferreira,Sp Braga,Pacos Ferreira_Sp Braga_2003
72,3.2,1.85,1.75,4.0,3.1,4.0,4.0,3.4,1.72,2.0,3.6,1.75,1.75,3.25,1.85,-0.75,1.79,3.1,3.4,2.05,Gil Vicente,Guimaraes,Gil Vicente_Guimaraes_2003
73,3.3,3.3,3.4,1.9,1.83,1.9,1.9,3.2,3.5,3.6,2.0,2.15,3.5,3.25,1.85,0.75,1.79,3.0,3.3,1.7,Alverca,Sp Lisbon,Alverca_Sp Lisbon_2003
74,3.4,1.8,1.8,3.75,3.9,3.75,3.9,3.25,1.83,1.7,3.8,1.75,1.8,3.3,1.95,-0.75,1.71,3.1,3.3,2.05,Beira Mar,Leiria,Beira Mar_Leiria_2003
75,3.25,1.9,2.0,3.2,3.3,3.2,3.35,3.2,2.0,1.9,3.5,1.85,1.95,3.2,2.0,-0.5,1.65,3.1,3.3,1.95,Moreirense,Academica,Moreirense_Academica_2003
76,3.2,2.2,2.1,3.0,2.7,3.2,3.1,3.2,2.0,2.2,2.9,1.95,2.1,3.2,1.9,-0.25,1.75,3.0,3.2,1.85,Nacional,Belenenses,Nacional_Belenenses_2003
77,3.3,1.7,1.72,4.2,3.6,4.0,4.4,3.2,1.8,1.8,4.2,1.7,1.7,3.25,1.83,-1.0,1.83,3.2,3.3,2.15,Rio Ave,Est Amadora,Rio Ave_Est Amadora_2003
78,3.1,3.4,3.4,2.0,2.0,2.0,2.0,3.2,3.2,3.3,2.0,1.7,3.3,3.0,1.385,0.25,1.79,2.9,3.2,2.15,Boavista,Porto,Boavista_Porto_2003
79,3.5,4.4,4.0,1.73,1.57,1.72,1.7,3.4,4.0,5.0,1.65,1.95,4.5,3.4,1.95,0.75,1.71,3.3,3.4,1.85,Academica,Benfica,Academica_Benfica_2003
80,6.0,1.15,1.2,11.0,10.0,11.0,11.0,5.0,1.2,1.16,12.0,,1.17,5.0,1.5,,2.3,6.0,5.5,,Porto,Nacional,Porto_Nacional_2003
81,3.3,1.9,1.91,3.5,3.25,3.2,3.5,3.2,2.0,1.9,3.3,1.95,1.85,3.2,1.9,-0.5,1.75,3.3,3.35,1.85,Est Amadora,Pacos Ferreira,Est Amadora_Pacos Ferreira_2003
82,3.2,2.3,2.4,2.5,2.55,2.5,2.7,3.25,2.4,2.3,2.6,1.8,2.3,3.25,1.9,-0.25,1.75,3.1,3.2,2.0,Guimaraes,Maritimo,Guimaraes_Maritimo_2003
83,5.0,1.25,1.22,9.5,11.0,9.5,11.0,5.0,1.22,1.2,9.0,,1.17,5.0,1.5,,2.3,4.5,5.5,,Sp Lisbon,Rio Ave,Sp Lisbon_Rio Ave_2003
84,3.2,2.0,2.2,2.8,2.85,2.8,3.2,3.2,2.2,2.1,3.2,1.8,2.0,3.2,1.95,-0.5,1.71,3.1,3.3,2.0,Academica,Gil Vicente,Academica_Gil Vicente_2003
85,3.5,1.6,1.7,4.2,4.8,3.75,4.6,3.3,1.8,1.55,4.6,1.95,1.65,3.4,1.65,-0.75,2.0,3.4,3.4,1.85,Belenenses,Moreirense,Belenenses_Moreirense_2003
86,4.2,1.27,1.36,7.0,8.5,7.0,7.7,3.75,1.4,1.3,8.5,1.9,1.3,4.0,1.6,-1.5,2.1,4.3,4.2,1.9,Benfica,Beira Mar,Benfica_Beira Mar_2003
87,3.15,2.0,2.1,3.0,3.0,3.0,3.0,3.2,2.1,2.05,3.2,1.95,2.1,3.2,1.71,-0.25,1.95,3.1,3.25,1.85,Leiria,Alverca,Leiria_Alverca_2003
88,3.2,2.5,2.5,2.4,2.3,2.4,2.45,3.25,2.5,2.55,2.5,1.85,2.55,3.25,1.95,0.0,1.71,3.0,3.2,1.95,Sp Braga,Boavista,Sp Braga_Boavista_2003
89,3.3,1.9,2.0,3.2,3.0,3.25,3.25,3.4,1.9,2.0,3.5,1.8,2.0,3.2,1.71,-0.5,1.95,3.1,3.3,2.0,Gil Vicente,Belenenses,Gil Vicente_Belenenses_2003
90,3.5,1.5,1.57,5.0,4.8,5.0,5.2,3.5,1.57,1.55,5.4,1.8,1.6,3.5,2.0,-1.0,1.65,3.5,3.4,2.0,Boavista,Nacional,Boavista_Nacional_2003
91,3.6,1.6,1.57,5.0,5.2,5.0,5.25,3.5,1.57,1.5,4.6,1.8,1.55,3.5,1.95,-1.0,1.71,3.4,3.6,2.0,Maritimo,Academica,Maritimo_Academica_2003
92,4.0,1.4,1.4,7.0,6.75,6.5,6.8,3.75,1.44,1.35,6.0,1.8,1.4,3.75,1.9,-0.5,1.75,3.9,3.9,2.0,Sp Braga,Est Amadora,Sp Braga_Est Amadora_2003
93,3.5,4.0,4.0,1.73,1.6,1.72,1.7,3.5,4.0,4.4,1.7,2.0,4.5,3.4,1.75,0.75,1.9,3.3,3.35,1.8,Alverca,Benfica,Alverca_Benfica_2003
94,3.4,1.8,1.62,4.75,4.2,5.5,4.55,3.6,1.5,1.65,3.7,2.0,1.65,3.4,1.83,-0.75,1.83,3.2,3.5,1.8,Beira Mar,Guimaraes,Beira Mar_Guimaraes_2003
95,3.75,5.4,6.0,1.44,1.45,1.33,1.4,4.0,8.0,5.5,1.45,1.9,6.8,3.75,1.71,1.25,1.95,3.8,4.0,1.9,Moreirense,Porto,Moreirense_Porto_2003
96,3.25,2.0,2.0,3.2,3.3,3.2,3.25,3.5,1.9,1.9,3.2,1.8,2.0,3.2,1.9,-0.5,1.75,3.1,3.3,2.0,Rio Ave,Leiria,Rio Ave_Leiria_2003
97,3.5,4.0,4.75,1.62,1.57,1.61,1.6,3.5,4.5,5.0,1.7,2.0,4.9,3.4,1.95,1.0,1.71,3.3,3.55,1.8,Pacos Ferreira,Sp Lisbon,Pacos Ferreira_Sp Lisbon_2003
98,3.2,3.2,3.0,2.1,2.1,2.1,2.15,3.2,3.0,3.0,2.0,1.9,2.95,3.2,1.71,0.25,1.95,3.1,3.2,1.9,Maritimo,Benfica,Maritimo_Benfica_2003
99,3.25,4.2,4.33,1.7,1.72,1.72,1.75,3.4,4.0,4.0,1.7,2.0,4.1,3.25,2.0,0.75,1.65,3.2,3.4,1.8,Est Amadora,Boavista,Est Amadora_Boavista_2003
100,3.2,2.0,2.2,2.88,2.7,2.8,3.0,3.2,2.2,2.2,3.3,1.8,2.25,3.1,2.0,-0.25,1.65,3.0,3.0,2.0,Belenenses,Maritimo,Belenenses_Maritimo_2003
101,3.2,2.2,2.38,2.6,2.55,2.62,2.65,3.25,2.3,2.3,2.9,2.0,2.35,3.1,1.83,0.0,1.83,3.0,3.25,1.8,Academica,Beira Mar,Academica_Beira Mar_2003
102,3.3,1.7,1.91,3.5,3.6,3.2,3.55,3.2,2.0,1.8,4.2,1.9,1.9,3.2,1.83,-0.5,1.83,3.2,3.3,1.9,Guimaraes,Alverca,Guimaraes_Alverca_2003
103,3.3,1.7,1.67,4.0,4.1,4.33,4.55,3.2,1.72,1.7,4.2,1.9,1.7,3.4,1.75,-0.75,1.9,3.2,3.3,1.9,Leiria,Pacos Ferreira,Leiria_Pacos Ferreira_2003
104,3.3,1.65,1.7,4.33,4.4,4.33,4.25,3.2,1.72,1.65,4.4,1.8,1.75,3.25,1.83,-0.75,1.83,3.3,3.3,2.0,Nacional,Moreirense,Nacional_Moreirense_2003
105,6.0,1.17,1.17,11.0,12.0,11.0,13.0,5.0,1.2,1.14,12.0,,1.17,5.5,1.65,,2.0,5.2,5.5,,Porto,Gil Vicente,Porto_Gil Vicente_2003
106,4.5,1.3,1.22,9.0,10.0,9.0,9.0,4.75,1.25,1.25,8.0,,1.25,5.0,1.65,,2.0,4.2,5.0,,Benfica,Rio Ave,Benfica_Rio Ave_2003
107,3.6,1.45,1.44,6.5,6.5,5.5,6.1,3.6,1.5,1.44,5.4,1.9,1.45,3.6,1.75,-1.0,1.9,3.8,3.8,1.9,Sp Lisbon,Sp Braga,Sp Lisbon_Sp Braga_2003
108,3.65,1.5,1.44,6.5,6.6,5.5,6.0,3.5,1.53,1.4,5.6,1.87,1.5,3.6,2.1,-1.0,1.65,3.4,3.6,1.93,Boavista,Moreirense,Boavista_Moreirense_2003
109,3.35,3.8,4.0,1.72,1.8,1.72,1.75,3.4,4.0,3.5,1.8,1.9,4.05,3.4,1.88,0.5,1.88,3.1,3.4,1.91,Maritimo,Porto,Maritimo_Porto_2003
110,3.25,2.0,2.1,3.0,2.85,3.2,2.85,3.2,2.0,2.1,3.3,1.85,2.2,3.2,1.83,-0.25,1.83,3.0,3.3,1.95,Alverca,Academica,Alverca_Academica_2003
111,3.5,4.4,5.0,1.57,1.55,1.57,1.6,3.5,5.0,4.8,1.65,1.9,4.95,3.5,1.71,0.75,1.95,3.3,3.55,1.9,Est Amadora,Sp Lisbon,Est Amadora_Sp Lisbon_2003
112,3.2,2.0,2.0,3.2,3.2,3.2,3.4,3.2,2.0,1.95,3.3,1.85,1.95,3.2,2.0,-0.5,1.65,3.0,3.25,1.95,Gil Vicente,Nacional,Gil Vicente_Nacional_2003
113,3.65,4.8,5.5,1.53,1.45,1.53,1.5,3.5,5.5,5.8,1.55,1.9,5.85,3.5,1.71,1.0,1.95,3.5,3.65,1.9,Pacos Ferreira,Benfica,Pacos Ferreira_Benfica_2003
114,3.2,2.1,2.0,3.2,3.1,3.2,3.35,3.2,2.0,2.0,3.2,1.8,2.0,3.2,1.9,-0.5,1.75,2.9,3.2,2.0,Rio Ave,Guimaraes,Rio Ave_Guimaraes_2003
115,3.3,1.75,1.61,4.75,4.4,4.33,4.45,3.4,1.66,1.65,4.0,1.8,1.67,3.4,1.9,-0.75,1.75,3.2,3.5,2.0,Sp Braga,Leiria,Sp Braga_Leiria_2003
116,3.35,1.8,1.75,4.0,3.75,3.8,4.1,3.25,1.8,1.75,3.8,2.05,1.75,3.25,1.79,-0.5,1.85,3.1,3.35,1.75,Beira Mar,Belenenses,Beira Mar_Belenenses_2003
117,3.4,1.7,1.66,4.33,4.2,4.5,4.75,3.25,1.667,1.65,4.2,1.95,1.66,3.4,1.85,-0.75,1.79,3.2,3.35,1.85,Guimaraes,Pacos Ferreira,Guimaraes_Pacos Ferreira_2003
118,3.2,2.1,2.0,3.2,3.2,2.8,3.45,3.2,2.2,1.95,3.1,1.85,1.95,3.2,2.0,-0.5,1.65,3.0,3.25,1.95,Academica,Rio Ave,Academica_Rio Ave_2003
119,3.75,1.4,1.44,6.0,7.0,7.0,7.2,3.75,1.4,1.4,6.5,1.95,1.41,3.75,1.83,-1.25,1.83,3.7,3.8,1.85,Benfica,Sp Braga,Benfica_Sp Braga_2003
120,3.4,1.6,,,4.6,5.0,5.0,3.5,1.571,1.6,4.6,1.75,1.62,,1.65,-1.0,2.0,3.4,3.4,2.05,Leiria,Est Amadora,Leiria_Est Amadora_2003
121,3.4,1.6,1.57,5.0,6.0,4.5,5.6,3.5,1.61,1.5,4.8,2.0,1.55,3.5,1.85,-0.75,1.79,3.3,3.5,1.8,Sp Lisbon,Boavista,Sp Lisbon_Boavista_2003
122,3.25,1.9,1.9,3.4,3.3,3.2,3.6,3.2,2.0,1.9,3.5,1.9,1.9,3.25,1.85,-0.5,1.79,3.1,3.25,1.9,Belenenses,Alverca,Belenenses_Alverca_2003
123,3.2,1.9,2.0,3.2,3.2,2.8,3.35,3.2,2.2,1.95,3.5,1.8,2.0,3.2,1.95,-0.5,1.71,3.1,3.2,2.0,Moreirense,Gil Vicente,Moreirense_Gil Vicente_2003
124,3.0,2.3,2.3,2.7,2.6,2.75,2.75,3.2,2.25,2.4,2.7,2.0,2.35,3.1,1.95,0.0,1.71,3.0,3.1,1.8,Nacional,Maritimo,Nacional_Maritimo_2003
